描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                身在望京，韩日范儿扑面而来。
适合单人或情侣居住，在空中99米高度的日式榻榻米，情调小屋，俯视望京的西北，天气好的时候西山连绵如画，夜晚霓虹初上，坐在窗前，品着茶，找寻盘古大观身旁鸟巢的影子。
房间入住前均用紫外线灯消毒，布草一客一换，保证清洁舒适。
            ",330,普通公寓,整租,2人,40平米,北京,朝阳区,10," 非常温馨的小房间，充满了细节+ 超级温馨的，房东人也很nice，住着很舒服，没有杂音，隔音很好，隔壁是麻将屋我们都没有听到，以后去北京就住这啦～+ 真的非常好！跟图片一样！+ 1.离凯德mall和阜通地铁站都很近，交通便利。2.卫生干净，被子香香的就跟家里的一样。3.设施齐全，连梳子疏的密的都有，橡皮筋也有。房东姐姐很贴心地写了小纸条介绍。4.房东姐姐很温柔，直接告诉我房间密码还有注意事项。自在、快乐就在这未见的信任中产生。5.处于39高层，夜景真的很美。—2019.05.01+ 非常好的一次民宿体验，赞赞赞
+ 第一次住民宿，日式装修不一样的体验，房间敞亮，居高临下，窗外风景尽收眼底。邻地铁，交通方便，总之赞赞赞+ 房间设施齐全，房东周到的不像话，风景更是好，无限风光在顶峰啊+ 这个房间真的太好了，装修的完美，还有很多小吃的，从窗户看夜景也太美了！太赞了+ 特别特别喜欢+ 炒鸡炒鸡酷 以后还要去住",5,100.00%,100.00%,97.40%,1,5,100%,24 晚
"
                享受都市之旅，坐拥亚奥商圈核心地段，紧邻鸟巢、水立方，城市夜景尽收眼底。距离奥林匹克体育中心咫尺之遥。公寓Wifi覆盖，健翔国际公寓属于亚奥区域比较不错的房源。爱特家酒店公寓在健翔国际公寓里，是由诚信兴业房地产集团开发打造，由盛世美景物业管理，品质保证。
公寓将睡眠区、会客区连成一体，独立卫生间使人在有限的空间产生无限的映射之感。房间内装修精致，舒适度有很大提升。
春节5天起租
            ",358,普通公寓,整租,2人,32平米,北京,朝阳区,4, 地铁交通便利#  设施齐全#  + 整体还可以+ 还不错 交通方便！+ 很干净，房东人很好,4.8,80.00%,88.90%,92.50%,2,4.9,95%,22 晚
"
                阳面，大窗，独立卫生间，大功率吹风机，空调，电视，住这温馨舒适，
            ",150,农家乐,整租,3人,18平米,北京,密云区,1, 老板热情，室内卫生干净整洁，家常菜味道非常好，期待下次,4.3,100.00%,100.00%,89.50%,7,4.971,85%,28 晚
"
                阳面大窗，独立卫浴，每个房间都有大功率吹风机，24小时热水，住着舒心
            ",150,客栈民宿,整租,3人,18平米,北京,密云区,0,,,100.00%,100.00%,89.50%,7,4.971,100%,32 晚
"
                阳面大窗，独立卫生间，房间内24小时热水，空调，电视，无线网络，大功率吹风机，房间内温馨舒适
            ",138,客栈民宿,整租,2人,18平米,北京,密云区,1, 房东服务周到，房间干净整洁，下次有机会再来。,5,100.00%,100.00%,89.50%,7,4.971,100%,32 晚
"
                您可以在院内烧烤，我们提供烧烤架和碳，但食物需要自备！
我们的超大开放厨房也可以自主做饭，电饭锅、电磁炉、微波炉、烤箱等家电齐全，您可以大展厨艺！
为了环保，我们不提供毛巾、牙刷、牙膏，请自备！
提供免费24H热水、洗发水、沐浴露、洗手液、香皂、洗衣液、消毒液。
            ",1090,自建住宅,整租,6人,250平米,北京,怀柔区,3, 不错，房主很好+ 这里真的很不错 是和朋友住过体验最好的民宿了 干净卫生 很有生活气息 有很多娱乐设施 做饭也很方便+ 干净卫生#  可以做饭#  像家一样#  超乎想象#  空间真大#  ,5,100.00%,100.00%,94.30%,2,5,100%,20 晚
"
                房间干净整洁，空调 电视 无线 齐全。24小时热水，门前超大阳台 唱歌娱乐均可。离古北水镇2公里左右，环境优美。
            ",1898,独栋别墅,整租,12人,170平米,北京,密云区,3, 房东人很好 服务很周到 旁边就是停车场 停车很方便 房间很干净住着很舒服 饭菜也很可口 去游玩时还会给我们建议~ 非常棒的入住体验+ 挺好的，房东很热情，像到家一样！+ 房间干净整洁，老板做饭也很好吃，两家人去的，玩得很开心，距离古北水镇非常近，非常满意,5,100.00%,100.00%,80.00%,2,5,100%,28 晚
"
                希望小镇阁老峪民俗村,于2014年6月整体回迁入住217户的别墅群,拥有民俗户100户之多,社区依山傍水,冬暖夏凉,水岸庄园、环境优雅。坐落在青山绿水、花海碧空之中,交通便利、宜居宜趣,周边可玩之处众多,有北京国际青年营、天福号农庄、华润凤凰苗圃基地、木棉花乡村酒店、万家采摘果园、日光山谷自然度假营地乐园、全地形户外赛车、京津冀自行车车迷欢乐派,徒步登上火焰山可看密云水库全景等。距密云水库仅2公里,也是游水库南北线享受无霾新鲜空气的理想中转站。小镇紧邻司马台长城,古北水镇,黑龙潭清凉谷、太师屯车道峪的人间花海、蔡家洼玫瑰情园、张裕爱斐堡国际酒庄、云佛山及南山滑雪场等多个景点,距古北水镇仅40多公里,是您畅游密云理想的好去处。可同时接纳60人包桌就餐,特色农家菜一鱼多吃,山野菜,山石缝里的粗粮细作,均可按菜谱点菜或包桌,更可以游客自带食材露天烧烤,享受着自己心中的美味在舌尖中绽放,是一家人聚在一起难得的一份宁静与温馨。聚缘阁民俗农家院愿热情周到的为您服务,我们期待您的光临。
            ",1880,独栋别墅,整租,12人,260平米,北京,密云区,2, 一个仿佛世外桃源的小山村，住宿配套设施非常齐全这是我没有想到的……住宿环境干净整洁，店家热情好客，农家饭仿佛吃到了小时候的味道，总之，非常开心[呲牙]+ 本次发小聚会在聚缘阁，玩的非常开心，老板两口服务热情周到，设施齐全，KTV音响给力，店铺性价比很高，根据情况可以协调延时退房，满意的一次入住体验，推荐一下，,5,100.00%,100.00%,96.70%,2,4.85,100%,18 晚
"
                  转角可以遇到爱，遇见幸福，遇见快乐，遇见轻松。
  短暂逃离喧嚣，逃离烦恼，在自然的天地里吹着微风，在精心布置的房子里舒服的度过一段时光，切身的感受到原来生活中更多的是美好。这是［转角2號］希望带给你的，也是老板一家一直致力去做的事情。房间精心装修，适合温柔的打情骂俏，温馨的家庭出游，畅快的朋友聚会，安心的沉淀心情。
  有花团锦簇的小院儿供乘凉消遣，还有30平米的大露台可供party聚餐，随意玩闹完全不用拘束，小院儿外还可以烧烤哦。
  
            ",2280,独栋别墅,整租,18人,300平米,北京,密云区,2, 房子布局合理，适合人多的行程，而且房东人特别特别好，很耐心帮我们安排房间推荐附近的景点。房子里面设计兼顾老人和小孩，还有麻将机等等设备，这次行程非常愉快，谢谢房东。+ 细节做的很棒的小屋  看的出来房东布置的时候花了很多心血   很有爱很温暖  而且为卫生间超大功率的热水器点赞  冲澡很舒服   而且经营的很用心  订房的时候问了能不能蒸饭  结果我们到了房东给新配了一个电饭煲  本来想元旦还去一次   结果没有抢到房  已经预定出去了 哈哈  也祝美丽善良的房东生意兴隆  有缘再见！！,5,100.00%,100.00%,100.00%,1,5,100%,26 晚
"
                高级复式公寓300m2，五室三厅两卫，DIY厨房，阳光充足，空调、暖气均有，干净卫生。wifl(20兆光纤入户)，有线电视，24小时热水，多台电脑、70寸液晶电视、自动麻将桌，台球，新款X-BOX360，跑步机，飞镖，瑜伽跳舞毯及各种乐器、三国杀、纸牌游戏等等……。家电、炊具齐全，可无烟烧烤，干净卫生。是好友小聚，家庭、同事周末放松，微电影、毕业作品拍摄，生日PAPTY，节日聚会等不二选择。同时，还可为商务出差、观光旅游、探亲访友提供便捷短期租房服务，有免费停车位。适合度假，研讨会，小型培训，科研项目等短租。拎包入住即可，非常安全舒适。。如租期3天以上，还可免费接机（8人以内）。
            ",1598,独栋别墅,整租,12人,300平米,北京,昌平区,10, 非常不错干净卫生，非常满意+ 房间很好，我们有问题的直接联系房东都能解决+ 停车方便#  地铁交通便利#  可以做饭#  房东服务周到#  干净卫生#  + 体验很不错，上下二层，房间很大很整洁，房东人也非常好，聚会值得拥有！+ 屋内设施齐全，干净整洁。交通便利，周围生活设施方便。适合家庭聚会或者单位团建。+ 非常完美的聚会，屋内装修很好，房东认真负责。大家都说下次聚会还会来的！+ 很棒的体验，配套设施齐全+ 这次扶老携幼来北京旅行，考虑到很多人，如果住酒店的话不仅费用贵，而且关起门来大家也没有一个相处的场所。王姐的公寓给了我很大的惊喜，不仅房间空间大，而且也很干净整洁。大家在玩了一天后回到住的地方还有一个共同休息聊天喝茶玩耍的地方。真的很棒，以后如果全家旅游的话，我会继续尝试这种模式。+ 很喜欢这个房间，我们由于人太多，只能找这种，不过这个房间真心很赞，比别墅好多了，也有自动麻将桌，台球，新款X-BOX360，跑步机，飞镖，瑜伽跳舞毯及各种乐器、三国杀、纸牌等特别多的游戏，玩嗨我们了，特别高兴，这是木鸟的客服给我们推荐的房子，真心喜欢，房东人也很随和+ 千呐，我都没有见过这么美的房子，这么好的房东，之前我们住的都是酒店，但是人多，住酒店也不合适，也没有什么娱乐设施，第一次使用木鸟短租这个软件订房子，有家的感觉，很好，可以自由自在玩耍,5,100.00%,100.00%,88.70%,1,5,100%,18 晚
"
                装修风格现代中式，美观、大方、环保。室内设施齐全，每个房间独具特色 ，干净整洁带独立庭院，是一个非常适合家人/朋友聚会，公司团建烧烤的场所。 
    ◆房屋亮点：聚缘阁8室3厅度假别墅： 会让您尽情享受美好生活可遇到爱，感受到健康和幸福 ，会遇到截然不同的快乐，放松、自在、洒脱、。遇见一切你想遇到的，幸福之人珍贵的是心情，只是尽力享受生活的赐予，和自己喜欢的一切在一起哦！
    ◆观景客房、设施齐全、光照充足：豪华舒适的二层独院别墅，位置非常优越，冬暖夏凉，节能环保，隔音保温，视野宽阔，朝阳明亮，私密性强。该别墅内设有家庭房、大床房、标准间，房源设施齐全，定点采购洗漱用品安全卫生，一层配有全自动洗衣机，可以洗衣服，餐厅配有超大的双开门冰箱能让您享受家的感觉，应有尽有。性价比高、温馨舒适家的感觉。
    ◆步行范围内有各种便利设施供您散步休闲、健身锻炼，别墅南面有便利超市，可购买蔬菜蛋奶、便利食品以及日用品。各类餐馆方便用餐，在这里可品尝正宗的密云水库一鱼多吃和自家种养的新鲜食材，还有送餐服务，更有家庭聚餐的温馨感，即可品茶坐观山景，亦可把酒纵论人生。溪翁庄镇的渔街，可品尝密云各种特色水库鱼，车程15分钟。
    ◆周边游：离别墅区步行几分钟的地方就是日光山谷（孩子们的乐园，可以爬山看密云水库全景，骑马、卡丁车、越野车，米可米吉亲子乐园及夏季水上乐园等）， 开车可去密云水库周边大坝，驾车10分钟 ，周边村庄有多家采摘园，水果成熟的季节可以体验农耕乐趣。距黑龙潭桃源仙谷20公里左右（有山有水）。清凉谷40公里左右（有漂流和玻璃栈道）。爱斐堡国际红酒庄园（都是酒文化）和玫瑰情园约10公里左右（漫山遍野的玫瑰花）。古北水镇40公里左右（防江南风格）。太师屯车道峪人间花海30公里左右（花的海洋+天然水上乐园）。
     ◆免费娱乐设施包括:“舞台专业KTV音响、可蓝牙播放自己喜爱的歌曲，自动麻将机、烧烤炉子和碳、厨房内所有设施及厨房用具，可自带食材自己下厨做饭。专享自家院内儿童蹦蹦床和户外秋千吊椅”等。距住宿别墅50米远处的全民健身广场，有俏俏板、滑梯等健身器材。更有爱好体育运动的篮球和乒乓球设施。这里是公司团建的（免费）场地。商家承诺愿意做好全程团建服务工作，并可免费提供高端的户外音响。
     ◆如有其他问题欢迎随时向我咨询，我会为您提供更多的旅行建议，并将尽力满足您入住期间的需求，更多房源请您查看房东主页供您选择。
     ◆自驾：京承高速第17出口出大约十分钟，右拐见红绿灯再右拐，上101国道，行约5公里左拐上穆九路，行约1.5公里左拐至华润希望小镇。
     ◆ 温馨提示：此房型有多套，实际入住与此可能略有不同，请以实际入住房源为准。
     ◆北京希望小镇聚缘阁度假别墅愿热情周到的为您服务，期待您的光临。
            ",2280,独栋别墅,整租,16人,300平米,北京,密云区,2, 住宿环境一流，店内配套设施特别齐全……店家热情周到，饭菜特别满意，青山绿水世外桃源一样，很开心的一次旅行……期待下次再来+ 整体还不错,4.8,100.00%,100.00%,96.70%,2,4.85,95%,18 晚
